uid,note,controller_id,build_tunnel,mac_address,ip_tunnel,ip_support,pcb_version,pcb_dipswitch_value,jacks_state,sensors_fault,phases_detected,frequency_detected,firmware_version,ip_public,ip_dhcp,datetime_reboot,datetime_online,datetime_tunnel,datetime_vglms_start,datetime_button_user,datetime_button_user_long,datetime_reset,datetime_reset_long,datetime_created,tunnel_ping_time,oem,calibration_version
XLZBPSTQUB,Toronto Stock 20241203,,0,3484e4f0e577,,172.17.2.219,5,2,0,,,,11214,209.20.60.12,192.168.111.96,2024-12-03 17:40:11,,,2024-11-27 17:06:03,,,,,2024-10-22 18:58:54,0,,1
XP2BPSTQUB,Reliable 20240820 PRO,,1,3484e4f0e9f7,10.241.65.74,172.17.2.219,5,0,0,0,,,11176,,192.168.1.243,2024-09-04 21:54:47,,,2024-09-04 19:48:29,,,2024-08-20 20:33:32,,2024-06-07 15:19:41,,,1
XTI3Z5B6YE,Vancouver 20241022,,0,98f07b9da277,,172.17.2.219,5,2,0,,,,11198,184.71.162.178,192.168.1.220,2024-11-27 17:12:08,,,2024-11-27 17:24:30,,,,,2024-10-22 20:09:09,0,,1
XW3TISB44B,Reliable 20231128,,1,3ce06489eed7,10.241.64.14,172.17.2.187,5,0,0,0,,,11098,,192.168.1.154,2023-06-18 14:55:45,,,2024-04-12 14:20:50,2024-04-15 15:46:27,2024-04-15 15:47:53,,,2023-11-28 15:08:18,,,1
XYTYBSB44B,Reliable 20240912,,0,3ce0641c4f17,,172.17.2.123,5,2,0,0,,,11198,184.71.162.178,192.168.1.216,2024-05-27 13:01:54,,,2024-09-14 18:05:00,,,,,2024-04-04 16:23:45,0,,1
Y3S6GSB44B,Reliable 20240820 - 418 28th St West,204,1,3ce0646f4b78,,172.17.2.220,5,2,3,0,,,11226,24.80.246.150,192.168.0.27,2024-11-27 23:37:22,,,2024-12-19 16:39:06,2024-11-21 20:54:53,2024-05-27 13:10:54,2024-08-20 20:12:56,,2024-08-20 16:41:09,336,,1
Y4P36FEZID,Great Oak Cohousing South 20240201,14,1,68c90bedbf98,10.241.64.198,172.17.2.124,5,0,3,0,,,11226,70.90.143.154,10.7.38.66,2024-06-09 19:41:07,,,2024-12-31 18:19:02,,,,,2024-02-01 19:09:36,45,,1
YBYCKMCXUH,Reliable 20240820 - Windsor 20241121,,0,f4b898a16038,,172.17.2.156,5,2,0,0,,,11170,,192.168.1.53,2024-05-27 13:01:54,,,2024-09-04 15:15:22,2024-09-04 15:17:53,,2024-08-20 20:12:50,,2024-04-18 17:49:32,,,1
YTMORNB5AD,Dee Murphy for display 20241206,,1,60e85b173278,10.241.64.82,172.17.2.220,5,2,7,0,,,11214,209.20.60.12,192.168.111.162,2024-12-03 20:58:26,,,2024-11-01 17:23:21,2024-12-03 21:02:04,2024-08-30 13:58:57,2024-08-30 01:38:12,,2023-11-28 15:08:18,10,,1
YXDNQNB5AD,Reliable 20240820,,0,60e85b068ef8,,172.17.2.220,5,2,0,0,,,11198,184.71.162.178,192.168.1.118,2024-05-27 13:01:54,,,2024-11-25 16:31:14,,,2024-08-20 17:09:28,,2024-04-18 17:23:43,0,,1
Z5YLAUGVUE,Reliable 20240820,,0,94a9a805e3b9,,172.17.2.157,5,2,0,0,,,11198,184.71.162.178,192.168.1.151,2024-11-25 16:09:22,,,2024-11-25 16:33:55,2024-10-18 13:43:13,2024-05-27 13:02:20,2024-08-22 14:47:27,,2024-08-20 14:00:17,0,,1
ZSQCFMCXUH,Reliable 20240912 PRO,,1,f4b898514259,10.241.64.242,172.17.2.189,5,0,0,0,,,11198,184.71.162.178,192.168.1.8,2024-11-25 22:48:17,,,2024-11-25 23:10:30,2024-05-05 14:39:41,2024-09-14 15:30:57,2024-09-14 15:29:39,,2023-11-18 23:10:09,72,,1
